location,reviewer_name,is_local_guide,contributor_info,rating,time,text,likes,has_photo,owner_response
Harbour Bay Ferry Terminal,Hey its MA,True,Local Guide · 51 ulasan · 45 foto,1 bintang,5 tahun lalu,"Bagus tapi petugas covid nya nyolot nauzubillah saat saya menanyakan surat edaran yang menyatakan anak di bawah umur 10 tahun wajib melampirkan surat kesehatan. Petugas menjawab; menanyakan surat edaran biar apa? Biar pintar ?. Disuruh ke agen tiket minta surat kesehatan untuk ponakan umur 9 tahun. Sudah ke agen tiket berkali kali tapi agen tiket nya menginformasi bahwa itu tidak benar, anak di atas 10 tahun baru wajib surat kesehatan. Sebelumnya keluar masuk batam dalam waktu dekat tidak ada masalah kecuali hari ini. Lucu nya petugas covid tidak bisa menjawab dan semakin nyolot kalo tidak ada surat tidak boleh keluar Batam naik ferry sampe manggil security untuk handle kita padahal saya cuma menanyakan surat edaran & menyampaikan informasi dari agen tiket. Security menyarankan ikutin saja perintah petugas covid. Agen tiket terpaksa menuliskan data ponakan saya tanpa cek tensi untuk mengeluarkan surat kesehatan demi mempercepat keadaan karena takut di tinggal kapal. Saya lupa nama petugas nya siapa. Tapi 2 perempuan yang satu pake kacamata yang paling nyolot yang bertugas hari ini tanggal 26/04/21 pukul 2:30 siang. Buat yang berpergian dengan anak di bawah 10 tahun, saya sarankan untuk mengumpulkan bukti edaran yang menyatakan anak di bawah 10 tahun wajib surat kesehatan saat hendak keluar area pulau batam. Jika suatu saat terjadi atau bertemu dengan petugas covid yang sama, bisa sebagai bukti.",0,False,
Harbour Bay Ferry Terminal,Alona Kaunang,True,Local Guide · 696 ulasan · 3.687 foto,5 bintang,Diedit 3 tahun lalu,"Tempatnya bagus, bersih, dan rapi. Saya datang ke sini pagi-pagi sekitar jam 06.45, jadi tidak terlalu ramai.",1,True,
Harbour Bay Ferry Terminal,CHONG BOON KIONG,True,Local Guide · 527 ulasan · 7.015 foto,4 bintang,2 tahun lalu,"Salah satu terminal feri menuju Batam. Tidak terlalu berawan. Jadi tidak ada antrian panjang di hari kerja. Terminalnya terawat dengan baik.. banyak warung makan di sekitarnya, ada banyak warung yang menjual kek lapis favorit..",0,False,
Harbour Bay Ferry Terminal,Pak Cik,True,Local Guide · 177 ulasan · 1.225 foto,5 bintang,7 tahun lalu,Aku sangat menyukai tempat ini...,1,False,
Harbour Bay Ferry Terminal,marthameliasb,True,Local Guide · 16 ulasan · 27 foto,5 bintang,3 minggu lalu,Pelabuhan fave se-Batam.,0,True,
Harbour Bay Ferry Terminal,Dilla fadilla,True,Local Guide · 32 ulasan · 62 foto,4 bintang,Diedit 8 tahun lalu,Ruang tunggu di dalam lebih bagus. Petunjuk arah kurang jd adikiy agak bingung bagivyg prtma kali,0,True,
Harbour Bay Ferry Terminal,Song Hau Fung,True,Local Guide · 1.232 ulasan · 8.937 foto,5 bintang,Diedit 2 tahun lalu,Pengalaman yang luar biasa,0,True,
Harbour Bay Ferry Terminal,Ben Chor,True,Local Guide · 246 ulasan · 359 foto,4 bintang,7 tahun lalu,"Tempat baru, tidak banyak orang.",0,False,
Harbour Bay Ferry Terminal,Akhung Berithel Ina,True,Local Guide · 196 ulasan · 176 foto,5 bintang,7 tahun lalu,Pelabuhan yang sangat nyaman di Singapura,0,False,
Harbour Bay Ferry Terminal,jorch Ang,True,Local Guide · 63 ulasan · 154 foto,3 bintang,8 tahun lalu,Loket pelayanannya mudah ditemukan.,0,False,
